publishedAt,authorDisplayName,textDisplay,likeCount,original_text,processed_text
2024-12-15T18:17:56Z,@adripesik1408,rakyat ingin presiden kita bpk prabowo dan mas gibran jadi wakilnyakita hrs menerima dgn ikhlaas dan hati yg bijak,0,Rakyat ingin presiden kita Bpk Prabowo dan mas Gibran jadi wakilnya....kita hrs menerima dgn ikhlaas dan hati yg bijak,rakyat presiden bpk prabowo mas gibran wakilnyakita hrs menerima dgn ikhlaas hati yg bijak
2024-12-15T12:20:06Z,@SirenAdik,,0,❤❤❤❤❤,
2024-12-15T01:46:31Z,@NurhasanHasan-z5p,semoga allah senantiasa memberikan kesehatan yg luar biasa kpd bapak president,0,Semoga Allah senantiasa memberikan kesehatan yg luar biasa kpd bapak president ...,moga allah senantiasa sehat yg kpd president
2024-12-13T22:42:24Z,@tjungfatmin1687,,0,😅😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂,
2024-12-13T13:56:47Z,@TiarSetiawan-c3m,pidato tampa teks tambah nda jelas,0,pidato Tampa teks tambah nda jelas,pidato tampa teks nda
2024-12-11T09:50:30Z,@AloisisAsi,tanpa konsef segenab bahasa,0,Tanpa konsef segenab bahasa,konsef segenab bahasa
2024-12-11T09:49:15Z,@AloisisAsi,ketujuh dan kedelapan sungguh menggelegar contoh pemimpin aref bijak sana trbuka trasparan mayoritas bangsa rayat republik indonisia semoga trwujud panjang umur amin,0,"Ketujuh 7,dan kedelapan 8,sungguh menggelegar contoh pemimpin aref bijak sana trbuka trasparan mayoritas bangsa rayat republik indonisia semoga trwujud panjang umur amin",tujuh delap sungguh gelegar contoh pimpin aref bijak trbuka trasparan mayoritas bangsa rayat republik indonisia moga trwujud umur amin
2024-12-10T04:28:14Z,@adimulyana4057,ini udah desember dan saya msh ulang ulang trs pidato beliau inibrterima kasih rakyat indonesia sudah memilih beliau untuk mengemban amanah jd presiden kitabrmari doakan pak prabowo untuk bisa memimpin dengan sebaik baiknya,0,Ini udah Desember dan saya msh ulang ulang trs pidato beliau ini..<br>Terima kasih rakyat indonesia sudah memilih beliau untuk mengemban amanah jd presiden kita<br>Mari doakan pak Prabowo untuk bisa memimpin dengan sebaik baiknya..,udah desember msh ulang ulang trs pidato beliau inibrterima kasih rakyat indonesia pilih beliau mengemban amanah jd presiden kitabrmari doakan prabowo pimpin baik
2024-12-09T23:33:48Z,@asmuri-y4t,amin rais tdk disebut yaaa selamat bertugas dan sehat selaluindonesia majugerbang emas,0,Amin Rais TDK disebut yaaa ..selamat bertugas dan sehat selalu..Indonesia maju....gerbang emas ...,amin rais tdk yaaa selamat tugas sehat selaluindonesia majugerbang emas
2024-12-09T14:26:02Z,@Chandra-ww6gq,menyala jendral prabowo,0,Menyala jendral Prabowo🔥🔥,sala jendral prabowo
